AE_AEACN_1
AE_AECTRYEV
AE_AEECI
AE_AEENDTTM
AE_AEENDTTM_RAW
AE_AEONGO
AE_AEOUT
AE_AERELNST
AE_AERELPR
AE_AEREL_1
AE_AESCAN
AE_AESCONG
AE_AESDCH_1
AE_AESDISAB
AE_AESDTH
AE_AESER
AE_AESEV
AE_AESHOSP
AE_AESLIFE
AE_AESMIE
AE_AESOD
AE_AESRCH_1
AE_AESTDTTM
AE_AESTDTTM_RAW
AE_AESTTX_1
AE_AETERM
AE_COVAL
AE_FACAT
AE_FAORRES_ACN
AE_FAORRES_DECHALNG
AE_FAORRES_RECHALNG
AE_HOENDTTM
AE_HOENDTTM_RAW
AE_HOSTDTTM
AE_HOSTDTTM_RAW
AE_HOTERM
AE_LBL
AE_NARRATIVE_LBL
AE_O_AECTRYEV
AE_O_SCODECI
CODINGSTATUS
DICTIONARYRELEASE
E2BCOM
E2BCOMSEC
E2BDD
E2BDM
E2BRAND
E2BREASON
E2B_LBL1
EVENTDATE
EVENTGROUPNAME
EVENTGROUPSEQNBR
EVENTNAME
EVENTSTATUS
FORMDATASOURCE
FORMLASTMODIFIEDDATE
FORMNAME
FORMSEQNBR
HLGT
HLGTCD
HLT
HLTCD
ITEMGROUPSEQNBR
LASTCODEDBY
LASTCODEDDATE
LLT
LLTCD
PRIMARYPATH
PT
PTCD
SITENUMBER
SOC
SOCCD
STUDYNAME
SUBJECTNAME
