STUDYID
DOMAIN
USUBJID
SUBJID
AESEQ
AEGRPID
AESPID
AETERM
AELLT
AELLTCD
AEDECOD
AEPTCD
AEHLT
AEHLTCD
AEHLGT
AEHLGTCD
AEBODSYS
AEBDSYCD
AESOC
AESOCCD
AESEV
AESER
AEACN
AEREL
AERELNST
AEOUT
AESCAN
AESCONG
AESDISAB
AESDTH
AESHOSP
AESLIFE
AESOD
AESMIE
EPOCH
AESTDTC
AEENDTC
AESTDY
AEENDY
AEENRTPT
AEENTPT
